State,Biden,Trump,Biden_Margin,Outcome
KY,38,56,-18,0
KS,45,49,-4,0
GA,46,46,0,1
AZ,49,47,2,1
MI,46,47,-1,0
IA,46,49,-3,0
VA,48,43,5,1
--,53,42,11,1
WI,50,46,4,1
PA,49,45,4,1
MI,51,45,6,1
TX,43,46,-3,0
IA,45,42,3,1
GA,45,45,0,1
PA,48,42,6,1
PA,50,45,5,1
--,52,42,10,1
AZ,47,46,1,1
FL,47,47,0,0
WI,50,41,9,1
PA,47,45,2,1
MI,50,42,8,1
OH,45,44,1,1
NC,44,45,-1,0
--,52,42,10,1
--,50,40,10,1
GA,46,49,-3,0
FL,50,47,3,1
--,49,42,7,1
WI,51,42,9,1
PA,49,45,4,1
NC,48,46,2,1
MI,51,43,8,1
FL,49,46,3,1
AZ,49,43,6,1
--,51,42,9,1
FL,47,51,-4,0
AZ,48,49,-1,0
--,52,41,11,1
NC,47,47,0,1
MI,49,44,5,1
WA,58,36,22,1
MI,46,41,5,1
VT,56,32,24,1
SC,44,50,-6,0
IA,47,47,0,1
GA,47,47,0,1
WI,48,43,5,1
PA,49,46,3,1
--,51,43,8,1
--,50,44,6,1
ME,51,39,12,1
GA,49,46,3,1
--,48,41,7,1
--,51,42,9,1
LA,42,48,-6,0
MS,40,50,-10,0
TX,48,44,4,1
AL,44,48,-4,0
FL,46,44,2,1
TX,46,48,-2,0
FL,48,46,2,1
PA,47,45,2,1
MN,51,42,9,1
MT,42,49,-7,0
--,51,43,8,1
GA,45,46,-1,0
MO,45,53,-8,0
--,49,42,7,1
PA,48,43,5,1
--,47,41,6,1
--,51,42,9,1
WI,47,41,6,1
AZ,47,42,5,1
NC,47,45,2,1
PA,49,44,5,1
MI,49,39,10,1
FL,47,44,3,1
--,53,42,11,1
WI,51,44,7,1
PA,52,45,7,1
OH,45,48,-3,0
MI,53,42,11,1
--,53,42,11,1
--,52,43,9,1
NC,45,44,1,1
ME,55,38,17,1
AZ,49,40,9,1
MI,48,40,8,1
AZ,48,47,1,1
CA,60,31,29,1
UT,35,53,-18,0
NC,46,43,3,1
NC,45,43,2,1
FL,43,42,1,1
AZ,45,40,5,1
SC,45,51,-6,0
ME,59,38,21,1
KY,38,58,-20,0
--,50,41,9,1
CA,61,31,30,1
--,51,42,9,1
WI,52,46,6,1
MN,57,41,16,1
VA,53,39,14,1
FL,50,46,4,1
WI,52,42,10,1
NC,49,46,3,1
--,48,34,14,1
FL,50,50,0,1
MN,48,44,4,1
--,51,43,8,1
--,48,43,5,1
NC,47,47,0,1
NC,46,48,-2,0
CO,50,39,11,1
AZ,52,42,10,1
--,52,42,10,1
WI,50,43,7,1
MN,50,41,9,1
AZ,47,44,3,1
--,51,46,5,1
AZ,50,48,2,1
NH,45,42,3,1
WI,48,43,5,1
NV,46,42,4,1
